school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
P.S. 076 A. PHILIP RANDOLPH,0,0,21657.0,21.65,0.4,75.2,21.4,0.2,2.8,4.06,3.66,3.53,3.86,4.09,4.24,23.5,96.2,8.7,472.0,2.01,0.29,0.23
P.S. 149 SOJOURNER TRUTH,0,0,24470.0,18.32,2.1,62.1,28.5,2.1,5.1,3.23,2.86,3.9,3.16,3.41,3.0,23.4,99.1,15.3,235.0,2.6,0.25,0.18
P.S. 165 ROBERT E. SIMON,7,0,18175.0,22.29,4.8,14.9,60.1,2.0,18.2,3.9,3.52,2.77,3.48,4.1,3.5,19.9,71.2,13.7,604.0,2.62,0.43,0.4
P.S. 180 HUGO NEWMAN,22,2,20175.0,22.74,2.4,51.6,29.5,5.7,10.8,2.65,2.53,2.6,2.7,3.59,1.95,16.1,71.6,7.0,545.0,2.6,0.42,0.38
THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,6,0,23101.0,20.56,5.6,31.4,45.9,1.9,15.1,3.44,3.48,3.04,3.47,4.09,3.76,26.7,73.4,9.1,516.0,2.76,0.31,0.27
M.S. 243 CENTER SCHOOL,38,14,17592.0,25.44,6.0,11.5,18.3,6.4,57.9,3.84,3.94,4.63,4.38,4.23,4.47,14.0,11.9,0.0,235.0,4.52,0.85,0.8
M.S. M245 THE COMPUTER SCHOOL,70,19,16298.0,24.18,8.0,12.0,27.5,4.7,47.7,4.35,4.11,4.07,2.9,4.17,3.6,19.2,27.3,2.0,400.0,3.94,0.76,0.73
M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,12,0,17060.0,21.67,0.0,1.0,97.0,0.0,2.0,4.45,4.49,4.07,4.03,4.46,4.35,25.8,89.4,24.2,198.0,4.41,0.38,0.33
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,0,0,23191.0,31.67,1.1,29.8,52.8,6.7,9.6,3.43,4.83,3.57,4.64,4.2,4.08,28.7,71.3,6.7,178.0,2.71,0.34,0.23
LAFAYETTE ACADEMY,11,0,24280.0,15.9,1.4,50.0,34.8,3.6,10.1,3.62,3.93,3.43,3.87,3.98,4.34,23.9,84.1,15.9,138.0,3.73,0.37,0.29
COMMUNITY ACTION SCHOOL - MS 258,11,0,22415.0,21.5,1.3,42.6,46.6,0.4,9.0,3.95,4.72,3.39,4.62,4.15,4.05,24.7,75.3,4.0,223.0,3.94,0.4,0.29
WEST END SECONDARY SCHOOL,31,6,20147.0,22.05,8.0,5.9,18.9,4.4,62.8,4.8,3.75,4.36,4.2,4.48,4.25,22.4,18.9,0.9,339.0,4.19,0.8,0.79
P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,15,1,20066.0,27.05,6.0,11.4,17.9,5.7,59.0,3.99,3.03,3.04,2.64,4.36,2.44,18.6,17.5,2.3,753.0,3.5,0.73,0.73
THE ANDERSON SCHOOL,75,58,15971.0,32.0,27.0,2.8,9.1,9.9,51.2,4.66,3.66,4.05,2.66,4.53,3.23,6.5,8.4,0.2,537.0,4.68,0.9,0.9
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,0,0,21962.0,9.83,0.7,54.0,39.2,3.2,2.9,2.41,3.27,3.03,2.99,3.79,3.26,25.5,80.9,3.2,278.0,3.41,0.27,0.15
WEST PREP ACADEMY,21,1,24840.0,19.45,0.5,60.6,36.5,0.5,2.0,3.54,4.47,3.61,4.13,3.95,3.95,34.5,85.7,6.4,203.0,3.9,0.31,0.2
SPECIAL MUSIC SCHOOL,10,7,20398.0,17.36,14.3,12.1,15.0,15.0,43.6,4.77,4.34,4.12,3.15,4.07,3.81,10.2,20.4,0.3,314.0,4.68,0.9,0.9
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,0,0,21189.0,13.0,2.8,63.8,31.1,1.1,1.1,2.6,2.34,3.23,2.76,2.7,2.33,24.3,80.2,11.6,354.0,4.25,0.2,0.15
MOTT HALL II,64,12,15372.0,26.54,4.4,26.6,43.3,6.4,19.3,4.32,4.52,4.15,4.8,4.36,4.11,23.1,62.0,2.0,342.0,4.33,0.61,0.51
P.S. 007 SAMUEL STERN,0,0,20702.0,23.0,2.8,27.5,65.5,1.7,2.5,3.67,3.17,2.64,2.63,2.57,2.82,26.6,90.5,13.2,357.0,3.66,0.37,0.33
TAG YOUNG SCHOLARS,54,27,14573.0,31.35,38.8,18.6,17.0,10.2,15.3,4.76,3.05,4.08,2.74,3.89,2.5,4.6,38.5,0.0,587.0,4.64,0.9,0.9
P.S. 050 VITO MARCANTONIO,7,0,26862.0,17.47,2.4,38.6,57.8,0.4,0.8,3.66,3.73,3.51,3.61,3.62,3.64,28.3,95.2,6.4,251.0,3.41,0.26,0.21
JAMES WELDON JOHNSON,20,1,19237.0,24.79,3.5,26.0,67.4,1.3,1.7,3.35,3.49,3.01,3.22,2.91,3.37,27.4,87.9,10.4,818.0,2.02,0.39,0.37
